================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 1, iters: 820, time: 0.086, data: 0.020) , D_A: 0.225, G_A: 0.258, cycle_A: 3.331, D_B: 0.232, G_B: 0.204, cycle_B: 3.260, clip_style_AtoB: 7.336, clip_style_BtoA: 7.402, edge_AtoB: 3.298

[Rank 0] (epoch: 1, iters: 840, time: 0.084, data: 0.020) , D_A: 0.336, G_A: 0.546, cycle_A: 2.452, D_B: 0.360, G_B: 0.513, cycle_B: 2.082, clip_style_AtoB: 7.379, clip_style_BtoA: 7.383, edge_AtoB: 4.523

[Rank 0] (epoch: 1, iters: 860, time: 0.085, data: 0.021) , D_A: 1.520, G_A: 2.146, cycle_A: 3.806, D_B: 0.180, G_B: 0.511, cycle_B: 3.228, clip_style_AtoB: 7.691, clip_style_BtoA: 7.379, edge_AtoB: 3.932

[Rank 0] (epoch: 1, iters: 880, time: 0.089, data: 0.021) , D_A: 0.662, G_A: 0.581, cycle_A: 3.367, D_B: 0.186, G_B: 0.512, cycle_B: 3.732, clip_style_AtoB: 7.375, clip_style_BtoA: 7.508, edge_AtoB: 5.272

[Rank 0] (epoch: 1, iters: 900, time: 0.086, data: 0.026) , D_A: 0.314, G_A: 0.365, cycle_A: 2.358, D_B: 0.268, G_B: 0.691, cycle_B: 4.094, clip_style_AtoB: 7.387, clip_style_BtoA: 7.367, edge_AtoB: 3.301

[Rank 0] (epoch: 1, iters: 920, time: 0.088, data: 0.021) , D_A: 0.244, G_A: 0.385, cycle_A: 2.744, D_B: 0.209, G_B: 0.394, cycle_B: 1.823, clip_style_AtoB: 7.418, clip_style_BtoA: 7.445, edge_AtoB: 4.043

[Rank 0] (epoch: 1, iters: 940, time: 0.089, data: 0.014) , D_A: 0.265, G_A: 0.322, cycle_A: 2.921, D_B: 0.226, G_B: 0.441, cycle_B: 2.962, clip_style_AtoB: 7.207, clip_style_BtoA: 7.484, edge_AtoB: 4.265

[Rank 0] (epoch: 1, iters: 960, time: 0.087, data: 0.016) , D_A: 0.218, G_A: 0.424, cycle_A: 2.655, D_B: 0.276, G_B: 0.408, cycle_B: 3.426, clip_style_AtoB: 7.227, clip_style_BtoA: 7.336, edge_AtoB: 5.100

[Rank 0] (epoch: 1, iters: 980, time: 0.086, data: 0.016) , D_A: 0.218, G_A: 0.417, cycle_A: 3.131, D_B: 0.269, G_B: 0.309, cycle_B: 3.011, clip_style_AtoB: 7.230, clip_style_BtoA: 7.359, edge_AtoB: 5.508

[Rank 0] (epoch: 1, iters: 1000, time: 0.087, data: 0.026) , D_A: 0.175, G_A: 0.399, cycle_A: 2.076, D_B: 0.216, G_B: 0.472, cycle_B: 3.540, clip_style_AtoB: 7.086, clip_style_BtoA: 7.414, edge_AtoB: 3.544

[Rank 0] (epoch: 1, iters: 1020, time: 0.086, data: 0.020) , D_A: 0.228, G_A: 0.320, cycle_A: 2.784, D_B: 0.181, G_B: 0.247, cycle_B: 2.491, clip_style_AtoB: 7.230, clip_style_BtoA: 7.281, edge_AtoB: 2.619

[Rank 0] (epoch: 1, iters: 1040, time: 0.084, data: 0.021) , D_A: 0.164, G_A: 0.412, cycle_A: 2.522, D_B: 0.244, G_B: 0.277, cycle_B: 4.449, clip_style_AtoB: 7.129, clip_style_BtoA: 7.336, edge_AtoB: 4.648

[Rank 0] (epoch: 1, iters: 1060, time: 0.086, data: 0.020) , D_A: 0.174, G_A: 0.349, cycle_A: 2.293, D_B: 0.332, G_B: 0.380, cycle_B: 4.356, clip_style_AtoB: 7.156, clip_style_BtoA: 7.418, edge_AtoB: 2.844

[Rank 0] (epoch: 1, iters: 1080, time: 0.088, data: 0.026) , D_A: 0.204, G_A: 0.316, cycle_A: 2.856, D_B: 0.291, G_B: 0.417, cycle_B: 3.446, clip_style_AtoB: 7.129, clip_style_BtoA: 7.336, edge_AtoB: 2.976

